[1088] [!] FunName: NtCreateTransactionManager                         ServiceID: 005C
[1088] [!] FunName: NtCreateUserProcess                                ServiceID: 005D
[1088] [!] FunName: NtCreateWaitablePort                               ServiceID: 005E
[1088] [!] FunName: NtCreateWorkerFactory                              ServiceID: 005F
[1088] [!] FunName: NtDebugActiveProcess                               ServiceID: 0060
[1088] [!] FunName: NtDebugContinue                                    ServiceID: 0061
[1088] [!] FunName: NtDelayExecution                                   ServiceID: 0062
[1088] [!] FunName: NtDeleteAtom                                       ServiceID: 0063
[1088] [!] FunName: NtDeleteBootEntry                                  ServiceID: 0064
[1088] [!] FunName: NtDeleteDriverEntry                                ServiceID: 0065
[1088] [!] FunName: NtDeleteFile                                       ServiceID: 0066
[1088] [!] FunName: NtDeleteKey                                        ServiceID: 0067
[1088] [!] FunName: NtDeleteObjectAuditAlarm                           ServiceID: 0068
[1088] [!] FunName: NtDeletePrivateNamespace                           ServiceID: 0069
[1088] [!] FunName: NtDeleteValueKey                                   ServiceID: 006A
[1088] [!] FunName: NtDeviceIoControlFile                              ServiceID: 006B
[1088] [!] FunName: NtDisableLastKnownGood                             ServiceID: 006C
[1088] [!] FunName: NtDisplayString                                    ServiceID: 006D
[1088] [!] FunName: NtDrawText                                         ServiceID: 006E
[1088] [!] FunName: NtDuplicateObject                                  ServiceID: 006F
[1088] [!] FunName: NtDuplicateToken                                   ServiceID: 0070
[1088] [!] FunName: NtEnableLastKnownGood                              ServiceID: 0071
[1088] [!] FunName: NtEnumerateBootEntries                             ServiceID: 0072
[1088] [!] FunName: NtEnumerateDriverEntries                           ServiceID: 0073
[1088] [!] FunName: NtEnumerateKey                                     ServiceID: 0074
[1088] [!] FunName: NtEnumerateSystemEnvironmentValuesEx               ServiceID: 0075
[1088] [!] FunName: NtEnumerateTransactionObject                       ServiceID: 0076
[1088] [!] FunName: NtEnumerateValueKey                                ServiceID: 0077
[1088] [!] FunName: NtExtendSection                                    ServiceID: 0078
[1088] [!] FunName: NtFilterToken                                      ServiceID: 0079
[1088] [!] FunName: NtFindAtom                                         ServiceID: 007A
[1088] [!] FunName: NtFlushBuffersFile                                 ServiceID: 007B
[1088] [!] FunName: NtFlushInstallUILanguage                           ServiceID: 007C
[1088] [!] FunName: NtFlushInstructionCache                            ServiceID: 007D
[1088] [!] FunName: NtFlushKey                                         ServiceID: 007E
[1088] [!] FunName: NtFlushProcessWriteBuffers                         ServiceID: 007F
[1088] [!] FunName: NtFlushVirtualMemory                               ServiceID: 0080
[1088] [!] FunName: NtFlushWriteBuffer                                 ServiceID: 0081
[1088] [!] FunName: NtFreeUserPhysicalPages                            ServiceID: 0082
[1088] [!] FunName: NtFreeVirtualMemory                                ServiceID: 0083
[1088] [!] FunName: NtFreezeRegistry                                   ServiceID: 0084
[1088] [!] FunName: NtFreezeTransactions                               ServiceID: 0085
[1088] [!] FunName: NtFsControlFile                                    ServiceID: 0086
[1088] [!] FunName: NtGetContextThread                                 ServiceID: 0087
[1088] [!] FunName: NtGetCurrentProcessorNumber                        ServiceID: 0088
[1088] [!] FunName: NtGetDevicePowerState                              ServiceID: 0089
[1088] [!] FunName: NtGetMUIRegistryInfo                               ServiceID: 008A
[1088] [!] FunName: NtGetNextProcess                                   ServiceID: 008B
[1088] [!] FunName: NtGetNextThread                                    ServiceID: 008C
[1088] [!] FunName: NtGetNlsSectionPtr                                 ServiceID: 008D
[1088] [!] FunName: NtGetNotificationResourceManager                   ServiceID: 008E
[1088] [!] FunName: NtGetPlugPlayEvent                                 ServiceID: 008F
[1088] [!] FunName: NtGetWriteWatch                                    ServiceID: 0090
[1088] [!] FunName: NtImpersonateAnonymousToken                        ServiceID: 0091
[1088] [!] FunName: NtImpersonateClientOfPort                          ServiceID: 0092
[1088] [!] FunName: NtImpersonateThread                                ServiceID: 0093
[1088] [!] FunName: NtInitializeNlsFiles                               ServiceID: 0094
[1088] [!] FunName: NtInitializeRegistry                               ServiceID: 0095
[1088] [!] FunName: NtInitiatePowerAction                              ServiceID: 0096
[1088] [!] FunName: NtIsProcessInJob                                   ServiceID: 0097
[1088] [!] FunName: NtIsSystemResumeAutomatic                          ServiceID: 0098
[1088] [!] FunName: NtIsUILanguageComitted                             ServiceID: 0099
[1088] [!] FunName: NtListenPort                                       ServiceID: 009A
[1088] [!] FunName: NtLoadDriver                                       ServiceID: 009B
[1088] [!] FunName: NtLoadKey                                          ServiceID: 009C
[1088] [!] FunName: NtLoadKey2                                         ServiceID: 009D
[1088] [!] FunName: NtLoadKeyEx                                        ServiceID: 009E
[1088] [!] FunName: NtLockFile                                         ServiceID: 009F
[1088] [!] FunName: NtLockProductActivationKeys                        ServiceID: 00A0
[1088] [!] FunName: NtLockRegistryKey                                  ServiceID: 00A1
[1088] [!] FunName: NtLockVirtualMemory                                ServiceID: 00A2
[1088] [!] FunName: NtMakePermanentObject                              ServiceID: 00A3
[1088] [!] FunName: NtMakeTemporaryObject                              ServiceID: 00A4
[1088] [!] FunName: NtMapCMFModule                                     ServiceID: 00A5
[1088] [!] FunName: NtMapUserPhysicalPages                             ServiceID: 00A6
[1088] [!] FunName: NtMapUserPhysicalPagesScatter                      ServiceID: 00A7
[1088] [!] FunName: NtMapViewOfSection                                 ServiceID: 00A8
[1088] [!] FunName: NtModifyBootEntry                                  ServiceID: 00A9
[1088] [!] FunName: NtModifyDriverEntry                                ServiceID: 00AA
[1088] [!] FunName: NtNotifyChangeDirectoryFile                        ServiceID: 00AB
[1088] [!] FunName: NtNotifyChangeKey                                  ServiceID: 00AC
[1088] [!] FunName: NtNotifyChangeMultipleKeys                         ServiceID: 00AD
[1088] [!] FunName: NtNotifyChangeSession                              ServiceID: 00AE
[1088] [!] FunName: NtOpenDirectoryObject                              ServiceID: 00AF
[1088] [!] FunName: NtOpenEnlistment                                   ServiceID: 00B0
[1088] [!] FunName: NtOpenEvent                                        ServiceID: 00B1
[1088] [!] FunName: NtOpenEventPair                                    ServiceID: 00B2
[1088] [!] FunName: NtOpenFile                                         ServiceID: 00B3
[1088] [!] FunName: NtOpenIoCompletion                                 ServiceID: 00B4
[1088] [!] FunName: NtOpenJobObject                                    ServiceID: 00B5
[1088] [!] FunName: NtOpenKey                                          ServiceID: 00B6
[1088] [!] FunName: NtOpenKeyEx                                        ServiceID: 00B7
[1088] [!] FunName: NtOpenKeyTransacted                                ServiceID: 00B9
[1088] [!] FunName: NtOpenKeyTransactedEx                              ServiceID: 00BA
[1088] [!] FunName: NtOpenKeyedEvent                                   ServiceID: 00B8
[1088] [!] FunName: NtOpenMutant                                       ServiceID: 00BB
[1088] [!] FunName: NtOpenObjectAuditAlarm                             ServiceID: 00BC
[1088] [!] FunName: NtOpenPrivateNamespace                             ServiceID: 00BD
[1088] [!] FunName: NtOpenProcess                                      ServiceID: 00BE
[1088] [!] FunName: NtOpenProcessToken                                 ServiceID: 00BF
[1088] [!] FunName: NtOpenProcessTokenEx                               ServiceID: 00C0
[1088] [!] FunName: NtOpenResourceManager                              ServiceID: 00C1
[1088] [!] FunName: NtOpenSection                                      ServiceID: 00C2
[1088] [!] FunName: NtOpenSemaphore                                    ServiceID: 00C3
[1088] [!] FunName: NtOpenSession                                      ServiceID: 00C4
[1088] [!] FunName: NtOpenSymbolicLinkObject                           ServiceID: 00C5
[1088] [!] FunName: NtOpenThread                                       ServiceID: 00C6
[1088] [!] FunName: NtOpenThreadToken                                  ServiceID: 00C7
[1088] [!] FunName: NtOpenThreadTokenEx                                ServiceID: 00C8
[1088] [!] FunName: NtOpenTimer                                        ServiceID: 00C9
[1088] [!] FunName: NtOpenTransaction                                  ServiceID: 00CA
[1088] [!] FunName: NtOpenTransactionManager                           ServiceID: 00CB
[1088] [!] FunName: NtPlugPlayControl                                  ServiceID: 00CC
[1088] [!] FunName: NtPowerInformation                                 ServiceID: 00CD
[1088] [!] FunName: NtPrePrepareComplete                               ServiceID: 00D0
[1088] [!] FunName: NtPrePrepareEnlistment                             ServiceID: 00D1
[1088] [!] FunName: NtPrepareComplete                                  ServiceID: 00CE
[1088] [!] FunName: NtPrepareEnlistment                                ServiceID: 00CF
[1088] [!] FunName: NtPrivilegeCheck                                   ServiceID: 00D2
[1088] [!] FunName: NtPrivilegeObjectAuditAlarm                        ServiceID: 00D4
[1088] [!] FunName: NtPrivilegedServiceAuditAlarm                      ServiceID: 00D3
[1088] [!] FunName: NtPropagationComplete                              ServiceID: 00D5
[1088] [!] FunName: NtPropagationFailed                                ServiceID: 00D6
[1088] [!] FunName: NtProtectVirtualMemory                             ServiceID: 00D7
[1088] [!] FunName: NtPulseEvent                                       ServiceID: 00D8
[1088] [!] FunName: NtQueryAttributesFile                              ServiceID: 00D9
[1088] [!] FunName: NtQueryBootEntryOrder                              ServiceID: 00DA
